Vote_ID,Voter_ID,Candidate_ID,Title
1,1,37,PRESIDENT
2,1,43,GOVERNOR
3,1,47,SENATOR
4,1,1,MAYOR
5,5,38,PRESIDENT
6,5,43,GOVERNOR
7,5,50,SENATOR
8,5,2,MAYOR
9,8,36,PRESIDENT
10,8,41,GOVERNOR
11,8,46,SENATOR
12,8,3,MAYOR
13,9,36,PRESIDENT
14,9,41,GOVERNOR
15,9,46,SENATOR
16,9,3,MAYOR
17,9,51,STATE_REP
18,11,37,PRESIDENT
19,11,41,GOVERNOR
20,11,46,SENATOR
21,11,3,MAYOR
22,11,51,STATE_REP
23,14,37,PRESIDENT
24,14,42,GOVERNOR
25,14,47,SENATOR
26,14,1,MAYOR
27,14,52,STATE_REP
28,15,37,PRESIDENT
29,15,42,GOVERNOR
30,15,47,SENATOR
31,15,1,MAYOR
32,15,52,STATE_REP
33,16,36,PRESIDENT
34,16,41,GOVERNOR
35,16,46,SENATOR
36,16,3,MAYOR
37,16,51,STATE_REP
38,17,38,PRESIDENT
39,17,45,GOVERNOR
40,17,46,SENATOR
41,17,4,MAYOR
42,19,38,PRESIDENT
43,19,43,GOVERNOR
44,19,48,SENATOR
45,19,2,MAYOR
46,19,53,STATE_REP
47,20,37,PRESIDENT
48,20,42,GOVERNOR
49,20,47,SENATOR
50,20,1,MAYOR
51,20,52,STATE_REP
52,21,37,PRESIDENT
53,21,42,GOVERNOR
54,21,47,SENATOR
55,21,1,MAYOR
56,21,52,STATE_REP
57,23,36,PRESIDENT
58,23,41,GOVERNOR
59,23,46,SENATOR
60,23,2,MAYOR
61,23,51,STATE_REP
62,26,40,PRESIDENT
63,26,45,GOVERNOR
64,26,46,SENATOR
65,26,4,MAYOR
66,26,54,STATE_REP
67,28,38,PRESIDENT
68,28,43,GOVERNOR
69,28,48,SENATOR
70,28,2,MAYOR
71,28,53,STATE_REP
72,29,38,PRESIDENT
73,29,43,GOVERNOR
74,29,48,SENATOR
75,29,2,MAYOR
76,29,53,STATE_REP
77,31,37,PRESIDENT
78,31,42,GOVERNOR
79,31,47,SENATOR
80,31,1,MAYOR
